admin2_id,admin2_id_admin1
US-FL-AL,11
US-FL-BA,12
US-FL-BY,13
US-FL-BR,14
US-FL-BE,15
US-FL-BO,16
US-FL-CA,17
US-FL-CH,18
US-FL-CI,19
US-FL-CL,20
US-FL-CO,21
US-FL-CU,22
US-FL-DE,24
US-FL-DI,25
US-FL-DU,26
US-FL-ES,27
US-FL-FL,28
US-FL-FR,29
US-FL-GA,30
US-FL-GI,31
US-FL-GL,32
US-FL-GU,33
US-FL-HA,34
US-FL-HR,35
US-FL-HE,36
US-FL-HN,37
US-FL-HI,38
US-FL-HL,39
US-FL-HO,40
US-FL-IR,41
US-FL-JA,42
US-FL-JE,43
US-FL-LA,44
US-FL-LK,45
US-FL-LE,46
US-FL-LO,47
US-FL-LV,48
US-FL-LI,49
US-FL-MA,50
US-FL-MN,51
US-FL-MR,52
US-FL-MT,53
US-FL-MD,23
US-FL-MO,54
US-FL-NA,55
US-FL-OK,56
US-FL-OE,57
US-FL-OR,58
US-FL-OS,59
US-FL-PB,60
US-FL-PA,61
US-FL-PI,62
US-FL-PO,63
US-FL-PU,64
US-FL-SJ,65
US-FL-SL,66
US-FL-SR,67
US-FL-SA,68
US-FL-SE,69
US-FL-SU,70
US-FL-SW,71
US-FL-TA,72
US-FL-UN,73
US-FL-VO,74
US-FL-WA,75
US-FL-WL,76
US-FL-WS,77
