admin3_id,admin3_id_admin2
US-FL-AL,11
US-FL-BA,13
US-FL-BD,14
US-FL-BE,15
US-FL-BK,12
US-FL-BR,16
US-FL-CA,17
US-FL-CH,18
US-FL-CI,19
US-FL-CL,20
US-FL-CO,21
US-FL-CU,22
US-FL-DE,24
US-FL-DI,25
US-FL-DU,26
US-FL-ES,27
US-FL-FL,28
US-FL-FR,29
US-FL-GA,30
US-FL-GI,31
US-FL-GL,32
US-FL-GU,33
US-FL-HA,35
US-FL-HE,37
US-FL-HG,38
US-FL-HI,39
US-FL-HM,34
US-FL-HN,36
US-FL-HO,40
US-FL-IR,41
US-FL-JA,42
US-FL-JE,43
US-FL-LA,45
US-FL-LE,46
US-FL-LF,44
US-FL-LI,49
US-FL-LN,47
US-FL-LV,48
US-FL-MA,52
US-FL-MD,23
US-FL-MI,50
US-FL-MN,51
US-FL-MO,54
US-FL-MR,53
US-FL-NA,55
US-FL-OE,57
US-FL-OK,56
US-FL-OR,58
US-FL-OS,59
US-FL-PA,61
US-FL-PB,60
US-FL-PI,62
US-FL-PO,63
US-FL-PU,64
US-FL-SA,68
US-FL-SE,69
US-FL-SJ,65
US-FL-SL,66
US-FL-SR,67
US-FL-SU,70
US-FL-SW,71
US-FL-TA,72
US-FL-UN,73
US-FL-VO,74
US-FL-WA,76
US-FL-WK,75
US-FL-WS,77
